epoch,train_loss,val_loss,iou,dice
1,0.7231243123068003,0.5090444895389833,0.4783638817699332,0.6420097847126032
1,0.714704758462504,0.4896558202018863,0.49731005804711265,0.6597788100964145
2,0.5045344116383277,0.4634698575264529,0.5062595877796412,0.6671900438242837
3,0.458904204869286,0.4073052566694586,0.5549867520991124,0.7097865263098164
4,0.4359162112770307,0.40906445350694026,0.5471524662093112,0.7026195623764866
5,0.42179108683297006,0.3860611751479538,0.5696590611417043,0.7217720106244088
6,0.4104379431796435,0.37482174774141686,0.5825675751425718,0.7327021616854166
7,0.4041367820546845,0.37477714844832294,0.5828066569017737,0.7326364353299141
8,0.39726324165589405,0.36520462622375865,0.5892525084316731,0.7376754827797413
9,0.39232746457253104,0.3623169898006477,0.5914899010799433,0.7395629193045591
10,0.38766174993482055,0.3635343619867375,0.5924282359449486,0.740523742178553
11,0.38485000587121837,0.35968229015798947,0.5937131704860612,0.7412381387070606
12,0.3813343665821918,0.358601124663102,0.5954756697541789,0.7426948600301617
13,0.37812129365448266,0.35602609266183877,0.597585366195754,0.7443704877244799
14,0.37664052013153304,0.3693443349905704,0.5836276483378913,0.7329621114621037
15,0.37503982572236916,0.3560868877917528,0.5992098005978684,0.7459577698064478
16,0.37208771137637164,0.35120182784372256,0.6018329376844983,0.7478372504836635
17,0.36976991043505186,0.3564457822591066,0.595851702596012,0.743191014347892
18,0.36852831994333574,0.34989241963546525,0.6042346866899415,0.7497362503095677
19,0.36720860594977983,0.35015347637236116,0.6025690050501572,0.7482349493393773
20,0.36397549719932915,0.35607967790412276,0.5963674733905415,0.7431884498972642
21,0.3632669546656737,0.3509089170121833,0.6001513472121013,0.7462789245341953
22,0.3581369511778218,0.3555711188598683,0.59682568319534,0.7435488065998805
23,0.3574990824188662,0.3541463799970715,0.59874086819197,0.7450644364482478
24,0.35711676910411694,0.33894487968400905,0.6131179127253984,0.7565373282683523
25,0.35644727164463746,0.34661422416959936,0.6048706886799712,0.7500451029915559
26,0.35561810956729567,0.35385223960405904,0.5984572286276441,0.7450120412205395
27,0.3550545375860389,0.3524197766263234,0.5987522755014268,0.7449768726762972
28,0.3536631124556418,0.3630165639872614,0.5901679287223439,0.7378604143073685
29,0.3517061593385022,0.35666268216936214,0.5948649566816656,0.7417853850675257
30,0.3503487940835984,0.36486319934851247,0.5881545053108742,0.7360429674386978
