epoch,train_loss,val_loss,iou,dice
26,0.18618690381316763,0.16972893675495135,0.6116254208119292,0.7553402318374107
27,0.18551878880121206,0.1703872576453968,0.6108130179345608,0.7547338238672207
28,0.18561794542168317,0.17175485711348684,0.6070014406975947,0.7517582256935145
29,0.18520855493843555,0.1702425888984611,0.6111616825586871,0.7551753960549832
30,0.1843283270828818,0.16987484447461995,0.6125821327300448,0.7563482862161962
31,0.1833037362875123,0.17170951842869583,0.6072785799832721,0.7519673872543009
32,0.18427503151623043,0.1689766617883977,0.614087420192204,0.7575720644310902
33,0.18401022268655268,0.1716635426408366,0.6084114132350997,0.7529467871314601
34,0.1842607299993305,0.1709576552243609,0.6097795380573524,0.7540838378040414
35,0.18407341449668532,0.17010057749912927,0.6113231549921788,0.7552596453773348
36,0.1838721831525235,0.17053230090164825,0.6105607521769247,0.7546867233357931
37,0.18439842903692472,0.1703663012404975,0.6104933795176054,0.7546456310701998
38,0.18307059007255655,0.1711869068639843,0.6084171754749198,0.7530048322128622
39,0.18358133644061653,0.17011886510605875,0.6111262657532567,0.7551450135676484
